sku;family;categories;weight;power_requirements;description-fr_FR-print;description-fr_FR-mobile;description-en_US-print;description-en_US-mobile;description-de_DE-print;description-de_DE-mobile;name;release_date;picture;price;vendor
10699673;loudspeakers;loudspeakers,audio_video_sales,logitech;;;;"TABLET SPEAKER F/ IPAD ML";"<b>Clip on, plug in, press play</b>\nA rubberized clip securely attaches the speaker to your iPad or other tablet. The 3.5 mm audio cable plugs into the headphone jack. And just like that, you’ve got sound that’s worth sharing.\n\n<b>Go long</b>\nWith up to eight hours of battery life, you’ve got time to watch a full-length movie or two, and then some. And the speaker charges over USB, so you never need to worry about replacing batteries.\n\n<b>Take it with you</b>\nThis compact speaker fits easily into the included travel case or your laptop bag. Great sound can go with you—around the house, over to a friend’s or when you travel.";"Tablet Speaker for iPad, black";;;"Logitech Tablet Speaker for iPad";2011-08-21;;"751.16 USD";logitech
10699782;loudspeakers;loudspeakers,audio_video_sales,sony;;;;;"Bluetooth wireless, USB charging, A2DP / AVRCP Bluetooth profile\n\n- Crisp, powerful 360° sound experience\n- Stream music from your device without wires\n- Stylish, compact design - fits into any space";"SRS-BTV25, 13W, USB, Bluetooth";"Bluetooth® Wireless, USB-Ladefunktion, A2DP/AVRCP Bluetooth® Profil\n\n- Kristallklares, kraftvolles 360°-Sound-Erlebnis\n- Kabellose Musikübertragung von Ihrem Gerät\n- Elegantes, kompaktes Design – passt in jeden Raum";"SRS-BTV25, 13W, USB, Bluetooth";"Sony SRS-BTV25";2011-08-21;images/10699782-7734.jpg;"682.49 EUR,270.09 USD";sony
10699783;loudspeakers;loudspeakers,audio_video_sales,sony;;;;;"Bluetooth wireless, USB charging, A2DP / AVRCP Bluetooth profile\n\n- Crisp, powerful 360° sound experience\n- Stream music from your device without wires\n- Stylish, compact design - fits into any space";"SRS-BTV25, 13W, USB, Bluetooth";"Bluetooth® Wireless, USB-Ladefunktion, A2DP/AVRCP Bluetooth® Profil\n\n- Kristallklares, kraftvolles 360°-Sound-Erlebnis\n- Kabellose Musikübertragung von Ihrem Gerät\n- Elegantes, kompaktes Design – passt in jeden Raum";"SRS-BTV25, 13W, USB, Bluetooth";"Sony SRS-BTV25";2011-08-21;images/10699783-840.jpg;"232.84 USD";sony
10738335;loudspeakers;loudspeakers,audio_video_sales,ngs;;;"Système de son 2.0 d´une qualitè excellente, très pratique,il inclut des ècouteurs avec un micro. Dispose d´un contrôle de volume et d´une prise pour écouteurs sur sa façade. Parfait pour profiter de votre musique ou de vos jeux, il permet également d´effectuer des appels téléphoniques et d´utiliser des logiciels de reconnaissance vocale.\n\n<b>Caractéristiques techniques :</b>\n- Haut-parleur :\n- Puissance de sortie : 2 W\n- Contrôle de volume\n- Prise casque\n- Entrée : 230 V / 50 Hz\n- Bande passante : 200Hz - 20KHz\n- Impédance : 4\n- Casque :\n- Bande passante : 20Hz - 20KHz\n- Impédance : 32\n- Sensibilité : 105dB/nW +/- 2dB\n- Puissance maximale : 100 mW\n- Micro :\n- Bande passante : 20Hz - 20KHz\n- Impédance : 2.2K\n- Sensibilité : -58 +/- 3dB";"Silver Rook 2.0 - 2.0, 200Hz - 20 KHz, 4 ohms";"This handy and excellent quality sound system 2.0 includes headphone and microphone. It includes volume control and headphone front output. Perfect to enjoy music or games, it is also suitable for internet phone calls and voice recognition software.\n\n<b>Technical specifications:</b>\n- Speaker\n- Volume Control\n- Headphone output\n- Input: 230V 50Hz\n- Output: 9V/0,2 A\n- Frequency response: 200Hz~20KHz\n- Impedance: 4 ohms\n\n<b>Headphone</b>\n- Frequency response: 20Hz~20KHz\n- Impedance: 32 ohms/1KHz\n- Sensitivity: 105DB/nW±2dB\n- Max. input power: 100MW\n\n<b>Microphone</b>\nsitivity: 9x7/-58±3dB";"Silver Rook 2.0 - 2.0, 200Hz - 20 KHz, 4 ohms";;;"NGS Silver Rook 2.0";2011-08-27;images/10738335-5132.jpg;"517.74 EUR";ngs
10776295;loudspeakers;loudspeakers,audio_video_sales,adapt;;;;;"This handy little speaker is the perfect travel companion. Blasting out an impressive bass and treble you’ll be able to party in your hotel room, or relax on the beach with your favourite songs. The innovative design also enables you to expand the speaker to make use of the unique Bass Vibe technology.";"ADMS-100 Mini Speaker";;;"Adapt ADMS-100";2011-08-30;;"913.67 EUR,175.19 USD";adapt
10957322;loudspeakers;loudspeakers,audio_video_sales,tacens;;;;;"The new generation of vibration speakers TACENS is designed for amaze everybody and enjoy the music wherever you are. Its new last generation vibration driver is able of produce unrivaled sound quality from any solid surface. TACENS Symphonia includes an integrated Litium battery (USB rechargeable) and a MP3 player with TF/microSD cardreader for letting you enjoy music everywhere. Also its the perfect partner of any sound-device with headphones adaptor like: notebooks, netbooks, pads, mobile phones, MP3, MP4... The sound effect depends of the surface on where you use it: tables, chairs, boxes, windows, walls, doors.. even the car hood!. Your imagination is the limit! Tacens Symphonia will revolutionize the way you listen music.\n\n- Turn any solid surface into an amazing omni-directional 360 degrees vibration speaker.\n- Incredible sound quality with high frequency range (45Hz-20Khz) and strong bass.\n- Sound-wave vibration reacts with different surface types for different sound effect.\n- Wireless automatic-play with integrated lithium battery and MP3 player with TF card reader.\n- Long sound transmitting distance through surfaces.\n- Small and portable for business and travel.\n- High quality aluminium casing.\n- Compatible with any headphone-jack sound source like PC, MAC, Mobile Phones, MP3/MP4, notebook and pads.";"Symphonia - vibration speaker, 45Hz-20Khz";;;"Tacens Symphonia";2011-09-08;images/10957322-3266.jpg;"563.07 EUR,514.28 USD";tacens
11030552;loudspeakers;loudspeakers,audio_video_sales,trust;;;"Système d'enceintes de haute qualité au design élégant et au son riche, avec une puissance totale de sortie de 12 W RMS (puissance de crête de 24 W). Commande facilement accessible avec réglage du volume, bouton d'alimentation et connexion pour casque. Modèle compact pour un faible encombrement sur votre bureau. ";"Système d'enceintes de haute qualité au design élégant et au son riche, avec une puissance totale de sortie de 12 W RMS (puissance de crête de 24 W)";"High quality speaker set with attractive design and rich sound, with a total RMS output of 12 Watt (24 Watt peak power). Easy to reach volume control, power switch and headphone connection. Compact design that does not take a lot of space on your desk. ";"High quality speaker set with attractive design and rich sound, with a total RMS output of 12 Watt (24 Watt peak power)";"Hochwertiges Lautsprecherset mit attraktivem Design, detailreichem Klang und einer Gesamtausgangsleistung von 12 Watt RMS (Spitzenleistung 24 Watt). Lautstärkeregler, Netzschalter und Kopfhöreranschluss sind gut zugänglich. Kompakte Bauform spart Platz auf Ihrem Tisch. ";"Hochwertiges Lautsprecherset mit attraktivem Design, detailreichem Klang und einer Gesamtausgangsleistung von 12 Watt RMS (Spitzenleistung 24 Watt)";"Trust Pulsion";2011-09-17;images/11030552-Trust.jpg;"157.31 EUR,667.99 USD";trust
11030553;loudspeakers;loudspeakers,audio_video_sales,trust;;;"Système d'enceintes de très haute qualité au design élégant et au son impressionnant, avec une puissance totale de sortie de 20 W RMS (puissance de crête de 40 W). Son riche et précis grâce aux éléments de haute qualité et au haut-parleur passif supplémentaire placé à l'arrière. Commande facilement accessible avec réglage du volume, bouton d'alimentation, contrôle de tonalité et connexion pour casque. Connexion d'entrée audio supplémentaire pour votre iPod, iPhone, lecteur MP3, smartphone, etc.. ";"Système d'enceintes de très haute qualité au design élégant et au son impressionnant, avec une puissance totale de sortie de 20 W RMS (puissance de crête de 40 W)";"Premium quality speaker set with attractive design and impressive sound, with a total RMS output of 20 Watt (40 Watt peak power). Rich and detailed sound thanks to high quality components and extra passive driver at the backside. Easy to reach volume control with power switch, tone control and headphone connection. Extra audio input connection for your iPod, iPhone, MP3 player, smart phone etc. ";"Premium quality speaker set with attractive design and impressive sound, with a total RMS output of 20 Watt (40 Watt peak power)";"Lautsprecherset in Premium-Qualität mit eindrucksvollem Klang und einer Gesamtausgangsleistung von 20 Watt RMS (Spitzenleistung 40 Watt). Kräftiger und detailreicher Klang dank hochwertiger Komponenten und einem zusätzlichen passiven Treiber auf der Rückseite. Lautstärkeregler, Klangregler, Netzschalter und Kopfhöreranschluss sind gut zugänglich. Zusätzlicher Audioeingang für iPod, iPhone, MP3-Player, Smartphone usw.. ";"Lautsprecherset in Premium-Qualität mit eindrucksvollem Klang und einer Gesamtausgangsleistung von 20 Watt RMS (Spitzenleistung 40 Watt)";"Trust Pulsion XL";2011-09-17;images/15743_11030553-Trust.jpg;"997.79 EUR,650.98 USD";trust
11032105;loudspeakers;loudspeakers,audio_video_sales,logitech;;;;;"<b>These compact, versatile speakers are simple to connect and easy to control and enjoy.</b>\n\n<b>Connect what you want</b>\nYou can plug in any audio source that uses a standard 3.5 mm plug, like the headphone jack on your MP3 player.\n\n<b>Hear it clearly</b>\nDon’t your favorite tunes deserve better than those tinny laptop speakers? We think so.\n\n<b>Control it effortlessly</b>\nThe power/volume controls and cable management system make it simple to enjoy whatever you’re listening to.\n\n<b>These compact, USB-powered speakers with integrated power and volume controls make it simple to connect just about any audio source. So it’s easy to enjoy your favorite music, videos and more.</b>\n\n<b>USB powered</b>\nYour speakers get power from the USB port on your laptop or netbook—no wall outlet required.\n\n<b>Compact size</b>\nThese speakers sound great but don’t take up a lot of room on your table or desk.\n\n<b>3.5 mm audio input</b>\nYou can connect any audio source that uses a standard 3.5 mm plug, like the headphone jack on your MP3 player.\n\n<b>Cable management</b>\nForget unsightly cords. Your desk stays tidy, and these speakers are easy to move around with.\n\n<b>Power and volume controls</b>\nIt’s a snap to get the sound you want with simple volume and power controls at your fingertips.";"Z120, 2.0, 3.5 mm, USB, 1.2 W, Black/White";;;"Logitech Z120";2011-09-18;;"607.67 EUR,939.76 USD";logitech
11090326;loudspeakers;loudspeakers,audio_video_sales,speed_link;;;;;"The Vento 2.0 speaker set is perfect for any desktop. Its compact size takes up little space and stands securely. The design is modern and will compliment any flat-screen monitor – it also produces great sound. Another great feature is the USB cable which powers the speakers. Along with a volume control with switching function, the Vento also has a 3.5mm jack. The special show-stopper: you can adjust the volume level of any set of headphones you connect using the speaker set’s volume control.\n\n- 2W RMS output power;\n- USB-powered – no AC adapter required;\n- Slimline design: the perfect addition for flat-screen monitors;\n- Volume control with practical switch function;\n- Direct headphone volume control on speaker set;\n- 3.5mm jack plug for connecting to a PC or MP3 player;\n- detachable foot;\n- Dimensions: 80x70x200mm.";"Vento USB 2.0 PC Speaker Set, 1.2W RMS, 3.5mm jack, black";"Das Vento ist ein 2.0 Lautsprecherset für jeden Schreibtisch. Dank seiner schmalen Form nimmt es nicht viel Platz in Anspruch, verfügt aber dennoch über perfekte Standsicherheit. Das Design verleiht ihm nicht nur ein modernes, perfekt zu Flachbildschirmen passendes Aussehen, sondern auch einen angenehmen Klang. Äußerst zeitgemäß ist außerdem das USB-Kabel des Lautsprechersets, über das die Lautsprecher mit Strom versorgt werden. Neben einem Lautstärkeregler mit Schalterfunktion besitzt das Vento überdies einen 3,5 mm Anschluss für Kopfhörer. Der besondere Clou: die Lautstärke des angeschlossenen Kopfhörers lässt sich über den Lautstärkeregler des Lautsprechers verstellen.\n\n- 1,2W RMS Ausgangsleistung;\n- Stromversorgung über USB, kein Netzteil notwendig;\n- mit schlankem Design die perfekte Ergänzung zu Flachbildschirmen;\n- Lautstärkeregler mit praktischer Schalterfunktion;\n- direkt am Lautsprecher regelbarer Kopfhöreranschluss;\n- 3,5mm Klinkenstecker für den PC oder MP3-Player;\n- abnehmbarer Standfuß;\n- Abmessungen 80x70x200mm.";"Vento USB 2.0 PC Speaker Set, 1.2W RMS, 3.5mm jack, schwarz";"Speed-Link SL-8010-BK loudspeaker";2011-09-25;images/11090326-4775.jpg;"987.27 EUR,554.69 USD";speed_link
